"ano","id_municipio_nome","sigla_uf","natureza_juridica","populacao_atendida_agua","populacao_atentida_esgoto","populacao_urbana","volume_agua_produzido","volume_agua_faturado","consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_esgoto","volume_esgoto_tratado","volume_esgoto_faturado","receita_operacional_direta","receita_operacional_direta_agua","receita_operacional_direta_esgoto","arrecadacao_total","despesa_energia","investimento_agua_prestador","investimento_esgoto_prestador","investimento_total_prestador","investimento_agua_municipio","investimento_esgoto_municipio","investimento_total_municipio","investimento_agua_estado","investimento_esgoto_estado","investimento_total_estado"
2021,"Filadélfia","BA","Administracao publica direta",NA,7518,8792,NA,NA,NA,1,0,0,0.5,NA,0.5,1,1,NA,NA,NA,NA,205485.64,205485.64,NA,NA,NA
2020,"Buriticupu","MA","Administracao publica direta",NA,34567,40038,NA,NA,NA,800,0,0,772036,NA,772036,783886,378870.66,NA,NA,NA,NA,413481,1140343,NA,13481,354024
2020,"Santo Antônio dos Lopes","MA","Administracao publica direta",NA,14288,5826,NA,NA,NA,NA,1000,0,1e+06,NA,5e+05,1400000,20000,NA,NA,NA,NA,170000,1001000,NA,NA,NA
2012,"Santa Brígida","BA","Administracao publica direta",NA,5476,5476,NA,NA,NA,3,180,0,50000,NA,50000,75000,0,NA,NA,NA,NA,0,80000,NA,15923809,15923809
2015,"Davinópolis","MA","Administracao publica direta",NA,500,10549,NA,NA,NA,27,0,17,10000,NA,10000,22000,26000,NA,NA,NA,NA,12000,474000,NA,0,0
2018,"Itarantim","BA","Administracao publica direta",NA,17314,16216,NA,NA,NA,200,1,0,2e+06,NA,2e+06,2400000,150000,NA,NA,NA,NA,2e+05,215000,NA,0,3e+05
2014,"Xique-Xique","BA","Autarquia",NA,5880,34452,NA,NA,NA,1,0,312,2364739.18,NA,70942.18,2364739.18,211450.39,NA,0,120000,NA,0,140000,NA,0,0
2016,"Santa Teresinha","BA","Administracao publica direta",NA,2400,2569,NA,NA,NA,10,0,0,40000,NA,40000,30000,0,NA,NA,NA,NA,30000,172000,NA,0,0
2016,"Buritirana","MA","Administracao publica direta",NA,4500,4246,NA,NA,NA,50,80,60,80000,NA,5000,80000,7800,NA,NA,NA,NA,5e+05,1247000,NA,NA,NA
2017,"Itarantim","BA","Administracao publica direta",NA,20314,16767,NA,NA,NA,NA,1,0,4e+06,NA,4e+06,4700000,504000,NA,NA,NA,NA,1e+05,330000,NA,0,550000
