"ano","id_municipio","id_municipio_nome","sigla_uf","natureza_juridica","populacao_atendida_agua","populacao_atentida_esgoto","populacao_urbana","volume_agua_produzido","volume_agua_faturado","consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_esgoto","volume_esgoto_tratado","volume_esgoto_faturado","receita_operacional_direta","receita_operacional_direta_agua","receita_operacional_direta_esgoto","arrecadacao_total","despesa_energia","investimento_agua_prestador","investimento_esgoto_prestador","investimento_total_prestador","investimento_agua_municipio","investimento_esgoto_municipio","investimento_total_municipio","investimento_agua_estado","investimento_esgoto_estado","investimento_total_estado"
2021,"2910859","Filadélfia","BA","Administracao publica direta",NA,7518,8792,NA,NA,NA,1,0,0,0.5,NA,0.5,1,1,NA,NA,NA,0,205485.64,205485.64,NA,NA,NA
2020,"2102325","Buriticupu","MA","Administracao publica direta",NA,34567,40038,NA,NA,NA,800,0,0,772036,NA,772036,783886,378870.66,NA,NA,NA,313481,413481,1140343,113481,13481,354024
2020,"2110302","Santo Antônio dos Lopes","MA","Administracao publica direta",NA,14288,5826,NA,NA,NA,NA,1000,0,1e+06,NA,5e+05,1400000,20000,NA,NA,NA,130000,170000,1001000,NA,NA,NA
2012,"2927606","Santa Brígida","BA","Administracao publica direta",NA,5476,5476,NA,NA,NA,3,180,0,50000,NA,50000,75000,0,NA,NA,NA,80000,0,80000,0,15923809,15923809
2015,"2103752","Davinópolis","MA","Administracao publica direta",NA,500,10549,NA,NA,NA,27,0,17,10000,NA,10000,22000,26000,NA,NA,NA,380000,12000,474000,0,0,0
2018,"2916807","Itarantim","BA","Administracao publica direta",NA,17314,16216,NA,NA,NA,200,1,0,2e+06,NA,2e+06,2400000,150000,NA,NA,NA,15000,2e+05,215000,150000,0,3e+05
2014,"2933604","Xique-Xique","BA","Autarquia",45562,5880,34452,3000,3000,800,1,0,312,2364739.18,2293797,70942.18,2364739.18,211450.39,1e+05,0,120000,140000,0,140000,0,0,0
2016,"2928505","Santa Teresinha","BA","Administracao publica direta",NA,2400,2569,NA,NA,NA,10,0,0,40000,NA,40000,30000,0,NA,NA,NA,50000,30000,172000,0,0,0
2016,"2102358","Buritirana","MA","Administracao publica direta",14500,4500,4246,550,380,120,50,80,60,80000,75000,5000,80000,7800,NA,NA,NA,680000,5e+05,1247000,NA,NA,NA
2017,"2916807","Itarantim","BA","Administracao publica direta",NA,20314,16767,NA,NA,NA,NA,1,0,4e+06,NA,4e+06,4700000,504000,NA,NA,NA,80000,1e+05,330000,3e+05,0,550000
2014,"2211001","Teresina","PI","Sociedade de economia mista com administracao publica",793426,160691,792415,95959.63,48400.81,60488.43,2283.14,6714.08,9581.08,160486437.56,136477780.37,24008657.19,176592924.83,15787417.58,0,0,51747.19,2495850.29,1098143.78,3593994.07,560774.35,362483.82,923258.17
2022,"2915106","Itagi","BA","Administracao publica direta",NA,10500,NA,NA,NA,NA,NA,0,0,45800,NA,3800,50000,2000,NA,NA,NA,12000,40000,108000,NA,NA,NA
2022,"2919108","Lamarão","BA","Administracao publica direta",NA,800,NA,NA,NA,NA,1,0,0,40000,NA,40000,40000,1000,NA,NA,NA,2e+05,3e+05,6e+05,0,0,NA
2020,"2103554","Conceição do Lago-Açu","MA","Administracao publica direta",NA,16400,7804,NA,NA,NA,NA,1000,0,1e+06,NA,5e+05,1400000,20000,NA,NA,NA,130000,170000,1001000,NA,NA,NA
2013,"2902104","Araci","BA","Administracao publica direta",NA,21503,21160,NA,NA,NA,NA,443.53,0,150000,NA,150000,162000,25913,NA,NA,NA,68846,156910,225756,0,0,0
2018,"2102358","Buritirana","MA","Administracao publica direta",14500,4500,4317,550,380,NA,50,80,60,80000,75000,5000,80000,7800,NA,NA,NA,680000,5e+05,1247000,NA,NA,NA
2010,"2211001","Teresina","PI","Sociedade de economia mista com administracao publica",752060,123923,767557,94343,41138,15064.49,3459.5,5211,8861,124973761.91,108109303.6,16864458.31,110900593.11,15737641.24,26501420.57,117151053.09,146138004.62,4372443.29,225700.54,6720660.66,7228471.61,0,7228471.61
2013,"2900603","Aiquara","BA","Administracao publica direta",NA,4767,2776,NA,NA,NA,NA,0,0,255000,NA,255000,217000,3850,NA,NA,NA,0,60000,86500,NA,NA,NA
