"ano","id_municipio_nome","sigla_uf","natureza_juridica","populacao_atendida_agua","populacao_atentida_esgoto","populacao_urbana","volume_agua_produzido","volume_agua_faturado","consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_esgoto","volume_esgoto_tratado","volume_esgoto_faturado","receita_operacional_direta","receita_operacional_direta_agua","receita_operacional_direta_esgoto","arrecadacao_total","despesa_energia","investimento_agua_prestador","investimento_esgoto_prestador","investimento_total_prestador","investimento_agua_municipio","investimento_esgoto_municipio","investimento_total_municipio","investimento_agua_estado","investimento_esgoto_estado","investimento_total_estado"
2014,"Xique-Xique","BA","Autarquia",45562,NA,34452,3000,3000,800,NA,NA,NA,2364739.18,2293797,NA,2364739.18,211450.39,1e+05,NA,120000,140000,NA,140000,0,NA,0
2016,"Buritirana","MA","Administracao publica direta",14500,NA,4246,550,380,120,NA,NA,NA,80000,75000,NA,80000,7800,NA,NA,NA,680000,NA,1247000,NA,NA,NA
2014,"Teresina","PI","Sociedade de economia mista com administracao publica",793426,NA,792415,95959.63,48400.81,60488.43,NA,NA,NA,160486437.56,136477780.37,NA,176592924.83,15787417.58,0,NA,51747.19,2495850.29,NA,3593994.07,560774.35,NA,923258.17
2018,"Buritirana","MA","Administracao publica direta",14500,NA,4317,550,380,NA,NA,NA,NA,80000,75000,NA,80000,7800,NA,NA,NA,680000,NA,1247000,NA,NA,NA
2017,"Lajeado Novo","MA","Administracao publica direta",2000,NA,3455,100,110,15,NA,NA,NA,90000,30000,NA,60000,35000,NA,NA,NA,30000,NA,120000,0,NA,0
2015,"Lajeado Novo","MA","Administracao publica direta",2000,NA,3395,100,110,15,NA,NA,NA,90000,30000,NA,60000,35000,NA,NA,NA,30000,NA,120000,0,NA,0
2016,"Ribamar Fiquene","MA","Administracao publica direta",3600,NA,3845,2200,0,NA,NA,NA,NA,82000,52000,NA,43000,1000,NA,NA,NA,2700,NA,29700,0,NA,0
2016,"Teresina","PI","Sociedade de economia mista com administracao publica",845066,NA,798854,99985.16,49742.87,47322.3,NA,NA,NA,191755286.33,162908164.84,NA,191029765.73,22760128.17,623724.76,NA,1713520.49,456135.28,NA,456135.28,0,NA,0
2021,"Pindobaçu","BA","Autarquia",20048,NA,11196,1360,880,280,NA,NA,NA,331001,331000,NA,336006,34300,32000,NA,32000,35000,NA,35000,0,NA,0
2018,"Lajeado Novo","MA","Administracao publica direta",2000,NA,3458,100,110,15,NA,NA,NA,90000,30000,NA,60000,35000,NA,NA,NA,30000,NA,120000,0,NA,0
2015,"Ribamar Fiquene","MA","Administracao publica direta",3600,NA,3823,2200,0,32,NA,NA,NA,82000,52000,NA,0,1000,NA,NA,NA,27000,NA,54000,0,NA,0
2018,"Vila Nova dos Martírios","MA","Administracao publica direta",10150,NA,7246,120,120,12,NA,NA,NA,1e+05,70000,NA,120000,20000,NA,NA,NA,380000,NA,730000,NA,NA,NA
2016,"Lajeado Novo","MA","Administracao publica direta",2000,NA,3427,100,110,15,NA,NA,NA,90000,30000,NA,60000,35000,NA,NA,NA,30000,NA,120000,0,NA,0
2013,"Teresina","PI","Sociedade de economia mista com administracao publica",776233,NA,788527,94971.67,48163.82,58195.2,NA,NA,NA,161950870.48,139035697.38,NA,162700061.57,13887026.67,646559.74,NA,4944224.82,399860.44,NA,4287865.3,0,NA,0
2020,"Pindobaçu","BA","Autarquia",19706,NA,11224,1350,876,278,NA,NA,NA,328001,328000,NA,333000,33000,21000,NA,21000,2150000,NA,2150000,0,NA,0
2013,"Xique-Xique","BA","Autarquia",45562,NA,34373,3000,3000,800,NA,NA,NA,2204349.03,2136207.51,NA,2029857.03,338445.95,1e+05,NA,140000,1e+05,NA,120000,0,NA,0
2012,"Teresina","PI","Sociedade de economia mista com administracao publica",765606,NA,782641,94395.96,46031.68,56223.92,NA,NA,NA,157290236.62,135780383.21,NA,141301772.48,18643398.28,5813854.61,NA,12071029.57,1141458.17,NA,4542402.26,0,NA,0
2017,"São João do Arraial","PI","Administracao publica direta",3937,NA,3959,250,152,40,NA,NA,NA,57000,42000,NA,75000,15000,NA,NA,NA,6500,NA,11300,0,NA,0
2014,"Buritirana","MA","Administracao publica direta",14950,NA,4222,1490,1410,2300,NA,NA,NA,9000,8000,NA,11100,36000,NA,NA,NA,505000,NA,828000,0,NA,0
2016,"Vila Nova dos Martírios","MA","Administracao publica direta",10150,NA,7270,120,120,12,NA,NA,NA,1e+05,70000,NA,120000,20000,NA,NA,NA,380000,NA,730000,NA,NA,NA
2012,"Santa Rita de Cássia","BA","Autarquia",14907,NA,15136,1135,849,363,NA,NA,NA,1103700.51,1008539.05,NA,1222109.76,158426,11570.89,NA,11570.89,319853.52,NA,3521188.68,NA,NA,NA
2015,"Santa Rita de Cássia","BA","Autarquia",16265,NA,16368,1305,1105,384.51,NA,NA,NA,1501892.43,1376957.55,NA,1783620.01,241635.15,113663.16,NA,113663.16,0,NA,4226183.2,NA,NA,NA
2017,"Ribamar Fiquene","MA","Administracao publica direta",3600,NA,3864,2200,0,NA,NA,NA,NA,82000,52000,NA,43000,1000,NA,NA,NA,2700,NA,29700,0,NA,0
2017,"Vila Nova dos Martírios","MA","Administracao publica direta",10150,NA,7409,120,120,12,NA,NA,NA,1e+05,70000,NA,120000,20000,NA,NA,NA,380000,NA,730000,NA,NA,NA
2015,"Nova Olinda do Maranhão","MA","Administracao publica direta",12643,NA,12643,400,290,30,NA,NA,NA,90000,60000,NA,65000,40000,NA,NA,NA,20000,NA,70000,0,NA,0
2016,"São João do Arraial","PI","Administracao publica direta",3937,NA,3937,152,152,30.72,NA,NA,NA,57000,42000,NA,75000,15000,NA,NA,NA,6500,NA,11300,0,NA,0
2011,"Santa Rita de Cássia","BA","Autarquia",20900,NA,15006,1094.33,811.4,314,NA,NA,NA,877287.23,788919.11,NA,1036782.05,146477.73,35274.5,NA,41360.5,55304,NA,2007406.96,NA,NA,NA
2019,"São João do Arraial","PI","Administracao publica direta",4700,NA,4030,350,152,45,NA,NA,NA,61700,43500,NA,77000,16725,NA,NA,NA,6500,NA,11300,NA,NA,NA
2018,"São João do Arraial","PI","Administracao publica direta",4238,NA,4004,260,152,45,NA,NA,NA,61750,45000,NA,75000,16725,NA,NA,NA,6500,NA,11300,0,NA,0
2011,"Teresina","PI","Sociedade de economia mista com administracao publica",748915,NA,775225,93512.71,42575.91,55876.9,NA,NA,NA,138250154.59,119272687.05,NA,132791559.21,15988765.44,9213597.01,NA,23637864.76,2435814.29,NA,3280197.22,NA,NA,NA
2014,"Santa Rita de Cássia","BA","Autarquia",16265,NA,16265,1202,1002.31,211.11,NA,NA,NA,1434907.43,1316289.11,NA,1668285.02,84816.51,196365.83,NA,196365.83,0,NA,3521819.34,NA,NA,NA
2013,"Santa Rita de Cássia","BA","Autarquia",14907,NA,16099,1135,876.42,192.18,NA,NA,NA,1357532.62,1244023.34,NA,1465811.66,77284.75,34845.7,NA,34845.7,0,NA,3219179.71,NA,NA,NA
2012,"Xique-Xique","BA","Autarquia",45562,NA,32630,3000,3000,780,NA,NA,NA,1550000,1490000,NA,1350000,280000,1e+05,NA,180000,1e+05,NA,180000,0,NA,0
2014,"Ribamar Fiquene","MA","Administracao publica direta",3750,NA,3800,2100,0,32,NA,NA,NA,70000,45000,NA,0,10000,NA,NA,NA,25000,NA,47000,0,NA,0
2014,"Dom Inocêncio","PI","Administracao publica direta",2047,NA,2047,100,7.2,100,NA,NA,NA,220000.2,120000,NA,0,40000,NA,NA,NA,50000,NA,1e+05,0,NA,0
2017,"Buritirana","MA","Administracao publica direta",14500,NA,4257,550,380,120,NA,NA,NA,80000,75000,NA,80000,7800,NA,NA,NA,680000,NA,1247000,NA,NA,NA
2016,"Casa Nova","BA","Autarquia",59000,NA,42086,6043,1825.46,195.6,NA,NA,NA,3989001.35,2893646.66,NA,4054115,95874.62,120000,NA,160000,70000,NA,420000,84000,NA,217000
