"ano","id_municipio_nome","sigla_uf","natureza_juridica","populacao_atendida_agua","populacao_atentida_esgoto","populacao_urbana","volume_agua_produzido","volume_agua_faturado","consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_esgoto","volume_esgoto_tratado","volume_esgoto_faturado","receita_operacional_direta","receita_operacional_direta_agua","receita_operacional_direta_esgoto","arrecadacao_total","despesa_energia","investimento_agua_prestador","investimento_esgoto_prestador","investimento_total_prestador","investimento_agua_municipio","investimento_esgoto_municipio","investimento_total_municipio","investimento_agua_estado","investimento_esgoto_estado","investimento_total_estado"
"2022","Abaíra","BA","Administracao publica direta",NA,7290,NA,NA,NA,NA,NA,0,0,0,NA,0,0,5544,NA,NA,NA,NA,3e+06,4400000,NA,NA,NA
"2012","Abaré","BA","Sociedade de economia mista com administracao publica",NA,288,9358,NA,NA,NA,3.88,NA,0,611106.3,NA,1842.84,598167.82,41721.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013","Abaré","BA","Sociedade de economia mista com administracao publica",NA,4993,10048,NA,NA,NA,31.11,95.15,129.92,895613,NA,230156.77,789975.08,57578.44,NA,0,22925.57,NA,NA,NA,NA,NA,NA
"2014","Abaré","BA","Sociedade de economia mista com administracao publica",NA,6197,10207,NA,NA,NA,33.54,184.33,237.59,1138152.14,NA,446834.85,1014015.11,57420.98,NA,13662.59,63866.84,NA,NA,NA,NA,NA,NA
"2015","Abaré","BA","Sociedade de economia mista com administracao publica",NA,6548,10357,NA,NA,NA,40.24,203.74,254.41,1631102.44,NA,507933.77,1486924.74,85271.87,NA,28183.06,186464.44,NA,NA,NA,NA,0,0
"2016","Abaré","BA","Sociedade de economia mista com administracao publica",NA,6919,10550,NA,NA,NA,46.37,219.19,271.51,1976735.67,NA,602203.35,1648143.38,184875.76,NA,24167.94,65463.04,NA,NA,NA,NA,0,0
"2017","Abaré","BA","Sociedade de economia mista com administracao publica",NA,6701,10683,NA,NA,NA,40.34,207.43,241.9,2274306.43,NA,700150.22,1831618.66,198715,NA,0,0,NA,NA,NA,NA,0,0
"2018","Abaré","BA","Sociedade de economia mista com administracao publica",NA,6446,10484,NA,NA,NA,45,194.67,211.92,2338491.71,NA,707901.15,1967427.44,180400.57,NA,0,0,NA,NA,NA,NA,0,0
"2019","Abaré","BA","Sociedade de economia mista com administracao publica",NA,6793,10628,NA,NA,NA,31.93,197.51,223.33,2526558.07,NA,778513.53,2050985.57,198383.24,NA,0,0,NA,NA,NA,NA,NA,NA
"2020","Abaré","BA","Sociedade de economia mista com administracao publica",NA,6406,10766,NA,NA,NA,51.36,203.57,234.84,2706882.52,NA,809211,2314511.65,211129.74,NA,25782.81,171008.22,NA,NA,NA,NA,NA,NA
"2021","Abaré","BA","Sociedade de economia mista com administracao publica",NA,6518,10897,NA,NA,NA,68.83,203.84,239.59,2705979.81,NA,811511.97,2410776.12,266112.09,NA,46718.34,190392.19,NA,0,0,NA,0,0
"2022","Abaré","BA","Sociedade de economia mista com administracao publica",NA,5697,NA,NA,NA,NA,70.14,200.02,239.26,2948840.88,NA,885508.71,2291420.05,295368.63,NA,137067.62,477696.28,NA,0,0,NA,0,0
"2021","Açailândia","MA","Autarquia",NA,1581,85558,NA,NA,NA,6.1,40,35,11407086,NA,185040,10071400.42,4635954.39,NA,2e+05,380000,NA,0,0,NA,0,0
"2022","Açailândia","MA","Autarquia",NA,1581,NA,NA,NA,NA,6.19,50,45,14287566.39,NA,159646.67,15094864.42,4569001.38,NA,0,0,NA,0,0,NA,0,0
"2021","Adustina","BA","Administracao publica direta",NA,3053,6107,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,0,0
"2022","Adustina","BA","Administracao publica direta",NA,3503,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA
"2016","Água Branca","PI","Sociedade de economia mista com administracao publica",NA,4412,15084,NA,NA,NA,0,94.42,129.73,2447083.13,NA,144761.01,2306672.46,331368.33,NA,0,0,NA,0,0,NA,0,0
"2017","Água Branca","PI","Sociedade de economia mista com administracao publica",NA,4412,15129,NA,NA,NA,0,147.9,207.39,2746194.42,NA,315913.24,2588932.43,345172.99,NA,0,9555.28,NA,0,0,NA,0,0
"2018","Água Branca","PI","Sociedade de economia mista com administracao publica",NA,6460,15333,NA,NA,NA,0,177.35,269.18,3011392.61,NA,529091.63,3276992.01,504719.72,NA,0,2161.23,NA,0,0,NA,0,0
"2019","Água Branca","PI","Sociedade de economia mista com administracao publica",NA,6318,15387,NA,NA,NA,NA,188.71,229.63,3222977.27,NA,688718.85,3747798.29,608418.3,NA,0,456.59,NA,0,0,NA,0,0
"2020","Água Branca","PI","Sociedade de economia mista com administracao publica",NA,6249,15440,NA,NA,NA,NA,165.84,270.85,3477673.09,NA,702717.85,3724077.53,723347.47,NA,0,197618.88,NA,0,0,NA,0,0
"2021","Água Branca","PI","Sociedade de economia mista com administracao publica",NA,7378,15488,NA,NA,NA,10.61,243.4,305,4138334.45,NA,1016615.91,4214136.14,981847.43,NA,0,254840.46,NA,0,0,NA,0,0
"2022","Água Branca","PI","Sociedade de economia mista com administracao publica",NA,7034,NA,NA,NA,NA,44.74,241.08,299.91,4558256.61,NA,1119694.78,4753690.8,1027572.39,NA,0,73142.27,NA,0,0,NA,0,0
"2014","Água Doce do Maranhão","MA","Administracao publica direta",NA,800,3286,NA,NA,NA,0,0,0,0,NA,0,0,4000,NA,NA,NA,NA,0,0,NA,0,0
"2011","Aiquara","BA","Administracao publica direta",NA,4569,2661,NA,NA,NA,NA,0,0,250000,NA,250000,2e+05,3500,NA,NA,NA,NA,0,0,NA,NA,NA
"2012","Aiquara","BA","Administracao publica direta",NA,4536,2642,NA,NA,NA,NA,0,0,250000,NA,250000,210000,3800,NA,NA,NA,NA,50000,66000,NA,NA,NA
"2013","Aiquara","BA","Administracao publica direta",NA,4767,2776,NA,NA,NA,NA,0,0,255000,NA,255000,217000,3850,NA,NA,NA,NA,60000,86500,NA,NA,NA
"2020","Aiquara","BA","Administracao publica direta",NA,2572,2572,NA,NA,NA,NA,0,0,0,NA,0,0,10,NA,NA,NA,NA,0,0,NA,0,0
"2021","Aiquara","BA","Administracao publica direta",NA,2572,2555,NA,NA,NA,NA,0,0,0,NA,0,0,1289,NA,NA,NA,NA,0,0,NA,0,0
"2022","Aiquara","BA","Administracao publica direta",NA,2572,NA,NA,NA,NA,NA,0,0,0,NA,0,0,11952,NA,NA,NA,NA,45230,68716,NA,NA,NA
"2019","Alagoinha do Piauí","PI","Administracao publica direta",NA,1820,2782,NA,NA,NA,0,0,0,0,NA,0,0,2500,NA,NA,NA,NA,0,0,NA,0,0
